FEATURE2,NAME,POP_2010,LATITUDE,LONGITUDE
-999,Akutan,1027,54.1355556,-165.7730556
-999,Cold Bay,108,55.1858333,-162.7211111
-999,False Pass,35,54.8508333,-163.415
-999,King Cove,938,55.0616667,-162.3102778
-999,Belkofski,-999,55.0888889,-162.0305556
-999,Herendeen Bay,-999,55.7680556,-160.6858333
-999,Morzhovoi,-999,54.9069444,-163.3186111
-999,Port Moller,-999,55.9886111,-160.5769444
-999,Sanak,-999,54.4780556,-162.8175
-999,Unga,-999,55.1840915,-160.5050438
-999,Ikatan,-999,54.75,-163.3083333
County Seat,Sand Point,976,55.3397222,-160.4972222
-999,Nikolski,18,52.9380556,-168.8677778
-999,Unalaska,4376,53.8736111,-166.5366667
-999,Adak,326,51.88,-176.6580556
-999,Atka,61,52.1961111,-174.2005556
-999,Saint George,102,56.6,-169.5416667
-999,Saint Paul,479,57.1222222,-170.275
-999,Attu,-999,52.9375,173.2375
-999,Biorka,-999,53.8269444,-166.2080556
-999,Chernofski,-999,53.4083333,-167.55
-999,Amchitka,-999,51.5672222,178.8775
-999,Chugiak,-999,61.3888889,-149.4819444
-999,Eagle River,-999,61.3213889,-149.5677778
-999,Spenard,-999,61.1886111,-149.9063889
-999,Girdwood,-999,60.9425,-149.1663889
-999,Nunaka Valley,-999,61.2066667,-149.7683333
County Seat,Anchorage,291826,61.2180556,-149.9002778
-999,Kasigluk,569,60.8955556,-162.5180556
-999,Kipnuk,639,59.9388889,-164.0413889
-999,Kongiganak,439,59.9532731,-162.8951327
-999,Kwigillingok,321,59.8644444,-163.1341667
-999,Lime Village,29,61.3563889,-155.4355556
-999,Newtok,354,60.9427778,-164.6294444
-999,Akiachak,627,60.9094444,-161.4313889
-999,Atmautluak,277,60.8669444,-162.2730556
-999,Crooked Creek,105,61.87,-158.1108333
-999,Toksook Bay,590,60.5337752,-165.1036627
-999,Upper Kalskag,210,61.5418812,-160.3338521
-999,Oscarville,70,60.7227778,-161.77
-999,Red Devil,23,61.7611111,-157.3125
-999,Sleetmute,86,61.7025,-157.1697222
-999,Stony River,54,61.7830556,-156.5880556
-999,Tuluksak,373,61.1025,-160.9616667
-999,Tuntutuliak,408,60.3430556,-162.6630556
-999,Tununak,327,60.5855556,-165.2558333
-999,Akiak,346,60.9122222,-161.2138889
-999,Aniak,501,61.5783333,-159.5222222
-999,Bethel,6080,60.7922222,-161.7558333
-999,Chefornak,418,60.16,-164.2658333
-999,Chuathbaluk,118,61.5719444,-159.245
-999,Eek,296,60.2188889,-162.0244444
-999,Goodnews Bay,243,59.1188889,-161.5875
-999,Kwethluk,721,60.8122222,-161.4358333
-999,Lower Kalskag,282,61.5122222,-160.3580556
-999,Mekoryuk,191,60.3880556,-166.185
-999,Napakiak,354,60.6966667,-161.9519444
-999,Napaskiak,405,60.7080556,-161.7661111
-999,Nightmute,280,60.4794444,-164.7238889
-999,Nunapitchuk,496,60.8969444,-162.4594444
-999,Platinum,61,59.0130556,-161.8163889
-999,Quinhagak,669,59.7488889,-161.9158333
-999,Mertarvik,0,60.8109892,-164.4991078
-999,Kalskag,-999,61.5372222,-160.3052778
-999,Kashegelok,-999,60.8547222,-157.8338889
-999,Nyac,-999,61.0041667,-159.9405556
-999,Oskawalik,-999,61.7438889,-158.1927778
-999,Umkumiute,-999,60.4996523,-165.1988597
-999,Naknek,544,58.7283333,-157.0138889
-999,Koggiung,-999,58.8669444,-157.0075
-999,Libbyville,-999,58.7777778,-157.0530556
County Seat,King Salmon,374,58.6883333,-156.6613889
County Seat,South Naknek,79,58.7155556,-156.9980556
-999,McKinley Park,185,63.7327778,-148.9141667
-999,Cantwell,219,63.3916667,-148.9508333
-999,Anderson,246,64.3441667,-149.1869444
-999,Garner,-999,63.8291667,-148.9733333
-999,Suntrana,-999,63.8541667,-148.8483333
-999,Lignite,-999,63.9094444,-149.0183333
County Seat,Healy,1021,63.8569444,-148.9661111
-999,Koliganek,209,59.7286111,-157.2844444
-999,Togiak,817,59.0619444,-160.3763889
-999,Aleknagik,219,59.2730556,-158.6177778
-999,Clark's Point,62,58.8441667,-158.5508333
