LAT,LON,ALT,NAM,IKO,NA3,USE,USEdesc
46.88866,142.717483,17,Khomutovo,UHSS,RS96588,49,Civilian/Public
45.40411,141.800918,9,Wakkanai,RJCW,JA66913,49,Civilian/Public
45.242004,141.186432,34,Rishiri,RJER,JA99841,999,Other
31.466557,25.877945,97,Sidi Barrani,HE,EG86969,999,Other
31.457222,25.282778,25,As Sallum,HE,EG18589,999,Other
31.324444,27.222222,28,Mersa Matruh,HEMM,EG26512,49,Civilian/Public
31.183889,29.947222,-1,Alexandria,HEAX,EG62850,49,Civilian/Public
31.10714,25.451889,204,Habata,HE,EG16473,999,Other
31.028055,25.85111,225,Misheifa,HE,EG90654,999,Other
30.917778,29.696388,54,Borg El Arab,HEBA,EG25416,49,Civilian/Public
30.731388,27.020001,225,Deir El Gill,HE,EG78659,999,Other
39.956501,41.170166,1756,Erzurum,LTCE,TU74048,22,Joint Military/Civilian
39.813827,36.903496,1595,Sivas,LTAR,TU63592,22,Joint Military/Civilian
39.710251,39.526222,1156,Erzincan,LTCD,TU06320,22,Joint Military/Civilian
39.654278,43.025917,1664,Agri,LTCO,TU00003,999,Other
38.770832,35.493889,1068,Erkilet,LTAU,TU59805,8,Military
38.746387,41.660557,1267,Mus,LTCK,TU50928,22,Joint Military/Civilian
38.606918,39.291416,892,Elazig,LTCA,TU65354,22,Joint Military/Civilian
38.468056,43.332222,1668,Van,LTCI,TU98988,49,Civilian/Public
38.435833,38.091667,861,Erhac,LTAT,TU97525,22,Joint Military/Civilian
37.981388,41.840279,609,Siirt,LTCL,TU51381,999,Other
37.929054,41.11636,554,Batman,LTCJ,TU39791,8,Military
37.893806,40.200695,686,Diyarbakir,LTCC,TU11301,22,Joint Military/Civilian
37.735832,38.476665,675,Adiyaman,LTCP,TU00005,999,Other
37.565834,36.956943,525,Kahramanmaras,LTCN,TU99020,999,Other
37.09853,43.266083,1067,Sirsenk,OR,IZ43400,999,Other
37.091946,38.846222,452,Sanliurfa,LTCH,TU20547,999,Other
37.023506,41.194042,451,Kamishly,OSKL,SY65198,49,Civilian/Public
37.002102,35.425896,72,Incirlik Ab,LTAG,TU50577,8,Military
36.982166,35.280388,19,Adana,LTAF,TU19830,49,Civilian/Public
36.947777,37.478889,705,Oguzeli,LTAJ,TU64829,999,Other
36.520832,37.037777,498,Minakh,OS,SY93826,999,Other
36.490166,43.346779,525,Bashiqah,OR,IZ55629,999,Other
36.305916,43.147251,225,Mosul,OR,IZ66681,49,Civilian/Public
36.282112,42.404183,326,Tall Afar,OR,IZ19417,999,Other
36.237667,43.963081,403,Erbil Northwest,OR,IZ71089,999,Other
36.186638,37.583084,367,Rasin El Aboud,OS,SY64653,8,Military
36.180965,37.224396,388,Aleppo Intl,OSAP,SY28663,22,Joint Military/Civilian
36.096748,37.936474,348,Jirah,OS,SY41394,8,Military
35.859669,42.14225,299,Sahl Sinjar,OR,IZ79004,999,Other
35.767193,43.125084,251,Qayyarah West,OR,IZ72875,8,Military
35.757057,43.264721,199,Qayyarah South,OR,IZ74002,999,Other
35.754723,38.566833,320,Tabqa,OS,SY24311,22,Joint Military/Civilian
35.51284,44.284413,299,K 1,OR,IZ81335,22,Joint Military/Civilian
35.469055,44.349609,349,Kirkuk,OR,IZ15273,8,Military
35.402473,35.948029,47,Basel Al Assad Intl,OSLK,SY21035,22,Joint Military/Civilian
35.285278,40.175835,213,Deir Zzor,OSDZ,SY15301,49,Civilian/Public
35.138542,44.133553,190,Tal Ashtah New,OR,IZ24597,999,Other
35.134724,43.726391,192,Al Fathah,OR,IZ75640,999,Other
35.1175,36.711109,309,Hamah,OS,SY11491,8,Military
34.934723,44.484306,175,Tuz Khurmatu,OR,IZ66174,8,Military
34.917999,43.388916,129,K 2,OR,IZ46745,8,Military
34.875111,33.624863,2,Larnaca,LCLK,CY61643,49,Civilian/Public
34.71804,32.485729,12,Pafos Intl,LCPH,CY69679,49,Civilian/Public
34.674221,43.544418,138,Al Sahra,OR,IZ83580,8,Military
34.608749,43.776806,96,Tikrit East,OR,IZ93132,8,Military
34.590416,32.987862,23,Akrotiri,LCRA,CY76674,8,Military
34.586109,36.002777,22,Rene Mouawad,OLKA,LE08912,8,Military
34.569057,36.572834,538,Al Qusayr,OS,SY87668,8,Military
34.557362,38.316891,402,Palmyra,OSPR,SY70529,22,Joint Military/Civilian
34.535557,43.677502,100,Tikrit South,OR,IZ15645,8,Military
34.523308,37.630527,550,Tiyas,OS,SY96498,8,Military
34.491833,36.909863,830,Shayrat,OS,SY54660,8,Military
34.281387,35.680279,197,Wujah Al Hajar,OL,LE05438,999,Other
34.165638,44.264362,79,Samarra East,OR,IZ39860,8,Military
34.163555,44.747501,57,Salum,OR,IZ41086,999,Other
33.940193,44.361584,50,Balad Southeast,OR,IZ44598,8,Military
33.91811,36.865833,841,An Nasiriyah,OS,SY49982,8,Military
33.850082,35.987694,919,Rayak,OLRA,LE34814,8,Military
33.815418,41.437695,403,H1 New,OR,IZ73360,8,Military
33.813332,35.488666,26,Beirut Intl,OLBA,LE13565,22,Joint Military/Civilian
33.795277,44.601944,41,Baqubah,OR,IZ69979,999,Other
33.785545,42.441132,210,Al Asad,OR,IZ37337,8,Military
33.682407,37.213898,701,Sayqal,OS,SY74878,8,Military
33.609612,36.748943,627,Dumayr,OS,SY39377,8,Military
33.591251,44.594833,36,Khan Bani Sad,OR,IZ00388,999,Other
33.523861,44.256748,36,Al Taji,OR,IZ48976,8,Military
33.478332,36.225971,733,Mezze,OS,SY67797,8,Military
33.441971,42.909668,121,Al Muhammadi,OR,IZ00581,999,Other
33.412498,36.516945,615,Damascus Intl,OSDI,SY48097,22,Joint Military/Civilian
33.375,43.563057,43,Habbaniyah,OR,IZ48682,8,Military
33.355999,40.596169,594,H 2,OR,IZ89379,8,Military
33.338196,43.596973,76,Al Taqaddum,OR,IZ87814,8,Military
33.332584,44.362221,34,Baghdad Muthenna,OR,IZ22258,8,Military
33.306473,44.24139,34,Qasr Tall Mihl,OR,IZ49055,999,Other
33.285027,36.458058,667,Marj Ruhayyil,OS,SY47262,8,Military
33.278999,44.494141,31,Rasheed,OR,IZ24126,8,Military
33.262089,44.233917,34,Saddam Intl,ORBS,IZ35813,22,Joint Military/Civilian
33.075893,39.596947,771,H 3 Northwest,OR,IZ94942,999,Other
33.06089,36.552502,704,Khalkhalah,OS,SY86216,8,Military
32.9898,35.565262,281,Mahanaim I Ben Yaakov,LLIB,IS02359,49,Civilian/Public
32.970554,44.270558,41,Al Iskandariyah New,OR,IZ46969,999,Other
32.94104,44.634537,25,Shaykh Mazhar,OR,IZ32803,8,Military
32.92897,39.745666,777,H 3,OR,IZ91858,8,Military
32.848556,39.310165,828,H 3 Highway Strip,OR,IZ96596,999,Other
32.809444,35.04361,8,Haifa,LLHA,IS38550,22,Joint Military/Civilian
32.765556,34.954445,9,Kefar Gallim Highway Strip,LL,IS48296,999,Other
32.753334,44.129444,36,Karbala Northeast,OR,IZ22540,999,Other
32.705833,36.411667,749,As Suwayda West,OS,SY32152,8,Military
