WKT,Highway
"LINESTRING (-96.446247 18.762195,-96.428516 18.685871,-96.408794 18.652693,-96.382396 18.559036,-96.364116 18.518224,-96.352916 18.465932,-96.276761 18.393099,-96.076276 18.180271,-96.079059 18.15514)",145
"LINESTRING (-103.401246 20.661487,-103.491738 20.718118,-103.524766 20.726898,-103.570177 20.724575,-103.599596 20.739334,-103.635804 20.747154,-103.693742 20.784692,-103.70173 20.806232,-103.726403 20.834475,-103.758317 20.852945,-103.776331 20.873035,-103.813844 20.886553,-103.841271 20.890949,-103.83294 20.917194,-103.848138 20.921909,-103.895005 20.912142,-103.974268 20.915428,-104.011919 20.939239,-104.051401 20.974054,-104.065638 20.978527,-104.095728 20.978496,-104.168589 21.020341,-104.179239 21.031728,-104.21142 21.042684,-104.212113 21.061282,-104.230416 21.078337,-104.234903 21.063594,-104.299562 21.045743,-104.33536 21.030458,-104.400637 21.024738,-104.460123 21.04593,-104.485125 21.048644,-104.509249 21.059176,-104.535975 21.062783,-104.579288 21.098126,-104.623925 21.157791,-104.627779 21.170376,-104.64757 21.184616,-104.657549 21.215505,-104.651461 21.253473,-104.662928 21.302716,-104.698252 21.355805,-104.746965 21.38392,-104.762789 21.408987,-104.855022 21.473038,-104.902613 21.499718,-104.926707 21.521243,-104.929629 21.567133,-104.935008 21.580839,-104.946132 21.585514,-104.948459 21.59283,-104.960894 21.602537,-104.964297 21.616039,-104.977037 21.629415,-104.977444 21.639283,-105.004824 21.661181,-105.036531 21.661893,-105.060519 21.685897,-105.067102 21.717223,-105.085895 21.748685,-105.088618 21.764259,-105.099536 21.784771,-105.103297 21.804001,-105.125346 21.838481,-105.156855 21.853077,-105.148066 21.876372,-105.165004 21.888064,-105.169184 21.902238,-105.195337 21.934455,-105.218661 21.944899,-105.226283 22.014351,-105.209933 22.03686,-105.208049 22.098412,-105.222087 22.139755,-105.258967 22.203932,-105.274616 22.292757,-105.28748 22.335482,-105.32281 22.364546,-105.330386 22.38761,-105.342746 22.40188,-105.345843 22.435797,-105.367977 22.493714,-105.367091 22.498961,-105.404216 22.506251,-105.46616 22.541058,-105.572125 22.550784,-105.592732 22.56765,-105.604649 22.619537,-105.597934 22.667149,-105.610187 22.710309,-105.628315 22.738222,-105.679051 22.769642,-105.779071 22.834242,-105.792645 22.8366,-105.810398 22.909384,-105.83231 22.937435,-105.849751 22.99513,-105.877514 23.010243,-105.930142 23.024635,-105.956463 23.048455,-105.978748 23.058125,-106.003437 23.086098,-106.04018 23.109248,-106.092999 23.161889,-106.1227 23.169105,-106.145237 23.188153,-106.339855 23.199774,-106.394361 23.234863,-106.414846 23.210572,-106.418187 23.263937,-106.401075 23.303979,-106.436146 23.393123,-106.455608 23.415635,-106.497135 23.528573,-106.585202 23.643444,-106.604176 23.775742,-106.628339 23.877421,-106.661344 23.871865,-106.691381 23.903496,-106.711134 23.950713,-106.730413 23.971352,-106.764036 23.999972,-106.810506 24.077754,-106.83833 24.100804,-106.939589 24.133603,-106.981474 24.156893,-107.010869 24.166554,-107.077283 24.249418,-107.07385 24.271556,-107.09207 24.296466,-107.096396 24.349637,-107.095915 24.445989,-107.122053 24.460323,-107.273466 24.635253,-107.34085 24.704919,-107.373968 24.791108,-107.378981 24.796219,-107.405791 24.800595,-107.423666 24.820634,-107.441809 24.81201,-107.517706 24.826665,-107.532515 24.820817,-107.56703 24.831631,-107.694677 24.924081,-107.720907 24.93027,-107.743629 24.957057,-107.759094 25.013886,-107.767508 25.015881,-107.7751 25.045239,-107.791709 25.061408,-107.852186 25.070465,-107.842162 25.089206,-107.896506 25.112941,-107.901527 25.129066,-107.953779 25.169666,-107.992713 25.250645,-108.140052 25.345436,-108.146194 25.357606,-108.183532 25.386948,-108.24266 25.489648,-108.265654 25.488281,-108.332764 25.507904,-108.415846 25.547529,-108.445411 25.570688,-108.462608 25.564699,-108.46672 25.580848,-108.837028 25.76733,-108.959831 25.802491,-108.978248 25.841673,-109.022224 25.888456,-109.053131 25.929133,-109.056084 25.957208,-109.034401 25.974989,-109.017227 26.020228,-109.065004 26.204679,-109.007401 26.39747,-109.284424 26.71769,-109.296166 26.723466,-109.347191 26.788596,-109.431946 26.944773,-109.450677 27.104454,-109.93249 27.481615,-109.929972 27.577796,-109.919634 27.583624,-109.920618 27.59033,-109.935641 27.595019,-109.957879 27.616988,-110.089114 27.599171,-110.265765 27.629008,-110.322641 27.658532,-110.328143 27.669064,-110.353632 27.683487,-110.497622 27.886195,-110.673258 27.949709,-110.808741 27.949488,-110.849656 27.956692,-110.861445 27.953135,-110.900576 27.924637,-110.922907 27.930121,-110.939661 27.960496,-110.9434 27.985892,-110.933604 28.012732,-110.954776 28.078863,-110.961009 28.085711,-110.960849 28.09743,-110.980304 28.154542,-111.031993 28.254633,-111.041399 28.303861,-111.047039 28.45159,-111.050266 28.466878,-111.043231 28.492626,-111.051059 28.506638,-111.050166 28.524311,-111.005297 28.659467,-110.985538 28.704741,-110.969242 28.780985,-110.957912 28.817944,-110.959438 28.88303,-110.951512 28.906703,-110.956272 28.933499,-110.967121 28.958401,-110.966083 28.976144,-110.973721 28.992373,-110.956598 29.048529,-110.931483 29.053364,-110.911973 29.100602,-110.911128 29.163382,-110.920102 29.175591,-111.018535 29.563002,-111.074933 29.856804,-111.116186 29.920184,-111.092611 30.474318,-111.1172 30.528249,-111.108472 30.542245,-111.069143 30.580423,-111.033919 30.592532,-110.962523 30.633254,-110.926634 30.663662,-110.888297 30.679779,-110.87351 30.711948,-110.856612 30.729824,-110.853246 30.784135,-110.833472 30.847124,-110.842452 30.883417,-110.85391 30.903944,-110.850295 30.956392,-110.872443 30.990076,-110.90454 31.10618,-110.913131 31.118814,-110.943786 31.140791,-110.975142 31.20155,-110.972908 31.225575,-110.955879 31.245056,-110.942871 31.278183,-110.948271 31.326275)",15
"LINESTRING (-97.161983 18.819258,-97.14127 18.809796,-97.115529 18.813783,-97.094762 18.840918,-97.086651 18.871688,-97.074696 18.895203,-97.046918 18.901644,-96.987965 18.900155,-96.987293 18.90445,-96.937428 18.908837,-96.918782 18.88855,-96.805843 18.832337,-96.78957 18.829659,-96.763097 18.812145,-96.711345 18.809479,-96.694721 18.803585,-96.691304 18.795881,-96.695622 18.775509,-96.670918 18.76643,-96.656979 18.754698,-96.599324 18.748052,-96.579877 18.750746,-96.548824 18.745989,-96.52766 18.754478,-96.496777 18.754305,-96.471585 18.765211,-96.462476 18.759981,-96.440625 18.762962,-96.38142 18.801811,-96.336109 18.814185,-96.303051 18.831796,-96.246472 18.885691,-96.199451 18.906361,-96.189603 18.917736,-96.184621 18.956274,-96.159878 18.982064,-96.147503 19.0022,-96.13425 19.010636,-96.128902 19.024126,-96.131092 19.053714,-96.127804 19.071283,-96.09737 19.103926,-96.103939 19.117105,-96.099224 19.142694)",150
"LINESTRING (-99.176435 19.420791,-99.150091 19.427709,-99.094122 19.422987,-99.068305 19.410865,-99.012518 19.362938,-98.96462 19.316472,-98.944105 19.302496,-98.924398 19.29589,-98.752172 19.299853,-98.680166 19.314145,-98.622069 19.353309,-98.613379 19.352197,-98.553022 19.314761,-98.419439 19.254692,-98.326338 19.165063,-98.17989 19.085205,-98.120404 19.085173,-98.008679 19.062489,-97.947926 19.055148,-97.885839 19.037768,-97.808453 18.992112,-97.739674 18.958396,-97.717969 18.941901,-97.584897 18.880711,-97.492482 18.819995,-97.466749 18.838033,-97.444052 18.845614,-97.404256 18.879784,-97.387448 18.887956,-97.371693 18.885434,-97.344106 18.86653,-97.316609 18.855275,-97.282964 18.859647,-97.237927 18.844239,-97.180745 18.833838,-97.161983 18.819258)",150D
"LINESTRING (-94.910646 17.939861,-95.003054 17.815929,-95.037738 17.748501,-95.060237 17.729134,-95.053919 17.598115,-95.062686 17.558171,-95.046885 17.52156,-95.04693 17.157538,-95.01385 17.115602,-94.983202 17.019414,-95.00986 16.883293,-95.007594 16.827597,-95.021371 16.789166,-95.000116 16.738133,-94.953157 16.646132,-94.966417 16.633891,-94.947122 16.596003,-94.94346 16.549011)",185
"LINESTRING (-115.480103 32.660508,-115.478769 32.651067,-115.458474 32.64056,-115.444802 32.622177,-115.416337 32.601767,-115.289469 32.552823,-115.041535 32.55018,-115.028001 32.554876,-114.758637 32.46483,-114.442537 32.366781,-114.42328 32.346582,-114.369584 32.342223,-114.124719 32.272585,-114.091043 32.245047,-114.04416 32.23316,-114.014199 32.208006,-113.943124 32.169592,-113.914979 32.141116,-113.887391 32.129646,-113.786796 32.118449,-113.750901 32.109545,-113.71244 32.078552,-113.691605 32.07606,-113.651771 32.065627,-113.583276 32.060432,-113.540024 32.048926,-113.474122 32.046042,-113.367097 32.009399,-113.356522 31.998769,-113.154213 31.96912,-113.146645 31.971317,-113.108369 31.960979,-112.850976 31.862689,-112.871621 31.830124,-112.867904 31.814029,-112.879937 31.788997,-112.865388 31.723245,-112.807052 31.631242,-112.560676 31.305461,-112.535759 31.282026,-112.515976 31.270913,-112.491126 31.218151,-112.449813 31.164272,-112.363532 30.969366,-112.30236 30.879454,-112.289505 30.872101,-112.225134 30.786903,-112.19438 30.762674,-112.168639 30.730276,-112.055167 30.680499,-112.014823 30.698714,-111.995337 30.692341,-111.833441 30.718611,-111.81703 30.702272,-111.797171 30.699765,-111.762221 30.676516,-111.728255 30.667689,-111.557242 30.598734,-111.502584 30.589607,-111.404242 30.585239,-111.363135 30.576262,-111.168158 30.55356,-111.160514 30.556507,-111.112562 30.541151)",2
"LINESTRING (-103.897781 18.941874,-103.877525 18.917677,-103.868577 18.888568,-103.848587 18.865744,-103.810654 18.833399,-103.790527 18.792651,-103.747284 18.755047,-103.715393 18.749748,-103.678299 18.75377,-103.691712 18.71246,-103.691674 18.675246,-103.698577 18.663945,-103.688774 18.63316,-103.663887 18.570216,-103.5969 18.535714,-103.562103 18.484465,-103.534865 18.464782,-103.44809 18.342835,-103.399886 18.321623,-103.362029 18.298073,-103.234894 18.246508,-103.184363 18.239209,-103.142791 18.227584,-103.035209 18.189334,-103.009223 18.17167,-102.9597 18.163661,-102.911216 18.14618,-102.872054 18.149703,-102.803824 18.121563,-102.769576 18.096121,-102.689781 18.063824,-102.619872 18.051008,-102.56465 18.033421,-102.52188 18.021166,-102.492339 18.021391,-102.327185 17.9712,-102.327201 17.996577,-102.312506 18.004939,-102.287291 18.008578,-102.217009 17.980759,-102.162848 18.009033,-102.114562 18.015033,-101.971137 18.000623,-101.938436 17.99167,-101.836203 17.983745,-101.817434 17.971296,-101.80786 17.937404,-101.790145 17.928144,-101.767988 17.890615,-101.752218 17.875847,-101.728216 17.826824,-101.684858 17.768059,-101.656173 17.751842,-101.649604 17.724025,-101.61199 17.676527,-101.582319 17.669477,-101.559431 17.650291,-101.522672 17.648315,-101.484298 17.635156,-101.386312 17.565881,-101.363958 17.561388,-101.336836 17.553147,-101.302863 17.550154,-101.281386 17.540128,-101.228727 17.446294,-101.199362 17.438495,-101.164839 17.387946,-101.131262 17.37046,-101.110938 17.370523,-101.060209 17.345766,-101.034529 17.276905,-100.998411 17.26872,-100.899595 17.265352,-100.835661 17.229845,-100.760899 17.204303,-100.658201 17.201616,-100.648718 17.215975,-100.633383 17.219709,-100.609776 17.174686,-100.576528 17.158016,-100.543576 17.156952,-100.491674 17.143722,-100.470571 17.131536,-100.456175 17.136903,-99.979214 16.953527,-99.956403 16.902466,-99.925801 16.861845,-99.909978 16.852195,-99.876263 16.86006,-99.817708 16.82279,-99.782574 16.828371,-99.775052 16.822788,-99.680837 16.812771,-99.629948 16.765566,-99.581654 16.748001,-99.559124 16.768265,-99.531529 16.765724,-99.491048 16.77718,-99.465428 16.770761,-99.423938 16.771858,-99.398815 16.803378,-99.362431 16.800363,-99.323514 16.759401,-99.311009 16.753638,-99.238004 16.756031,-99.209682 16.749519,-99.175488 16.732106,-99.123196 16.714791,-99.08437 16.69176,-99.075391 16.677123,-99.046901 16.661635,-99.03297 16.644603,-99.002002 16.62309,-98.970975 16.615571,-98.944362 16.602169,-98.920674 16.597087,-98.890904 16.57604,-98.854709 16.576651,-98.83263 16.584671,-98.80798 16.584569,-98.795911 16.566442,-98.736431 16.544723,-98.730686 16.538754,-98.673427 16.543598,-98.601413 16.555018,-98.493878 16.544162,-98.471134 16.498421,-98.429119 16.46843,-98.4202 16.46855,-98.362208 16.453164,-98.294918 16.417891,-98.271274 16.421397,-98.2672 16.430928,-98.247448 16.431321,-98.229542 16.438342,-98.161777 16.420392,-98.146824 16.398772,-98.131907 16.388266,-98.089969 16.38041,-98.047184 16.345347,-98.043224 16.33252,-97.945102 16.305487,-97.836406 16.292717,-97.826587 16.270651,-97.787456 16.235163,-97.775508 16.209935,-97.753581 16.181752,-97.747715 16.164368,-97.68819 16.087126,-97.644291 16.063757,-97.601199 16.031016,-97.588099 16.032452,-97.585078 16.021174,-97.576693 16.010766,-97.512858 15.989297,-97.482143 16.000045,-97.421473 15.983689,-97.385615 15.949058,-97.29916 15.931842,-97.249293 15.93344,-97.216227 15.943145,-97.174891 15.941994,-97.099909 15.905576,-97.095621 15.879047,-97.012622 15.819817,-96.988391 15.831085,-96.950785 15.807616,-96.849864 15.762682,-96.761813 15.731482,-96.573374 15.717944,-96.455858 15.74363,-96.429339 15.764121,-96.390649 15.768552,-96.373376 15.775746,-96.325784 15.818063,-96.312196 15.822613,-96.28354 15.843913,-96.260287 15.84481,-96.240374 15.856708,-96.223651 15.859742,-96.166681 15.885325,-96.156497 15.899854,-96.149768 15.897074,-96.125009 15.900799,-96.072962 15.933086,-96.024264 15.929702,-95.970338 15.910856,-95.933061 15.910146,-95.927614 15.916448,-95.853387 15.899524,-95.846896 15.904296,-95.806978 15.903162,-95.744302 15.9363,-95.72854 15.940177,-95.71203 15.966552,-95.696474 15.977532,-95.683206 15.977666,-95.635881 15.964729,-95.609354 15.967687,-95.606798 15.975377,-95.581773 15.987058,-95.555872 15.973367,-95.513848 16.031804,-95.37121 16.11323,-95.333505 16.122675,-95.259011 16.175247,-95.224809 16.182976,-95.205133 16.166481,-95.198297 16.168026,-95.18387 16.187651,-95.228053 16.318837,-95.101662 16.390288,-95.020548 16.429927,-95.010706 16.44308,-94.966669 16.522796,-94.943521 16.547658,-94.874323 16.567824,-94.713387 16.573447,-94.643922 16.547123,-94.61358 16.558367,-94.581331 16.552386,-94.526116 16.520024,-94.457704 16.491813,-94.42708 16.494263,-94.374063 16.483842,-94.356607 16.468579,-94.296944 16.446791,-94.210138 16.364217,-94.198235 16.363993,-94.141389 16.337741,-94.099984 16.334367,-94.056718 16.344784,-94.036485 16.35455,-94.015298 16.352403,-93.981401 16.3195,-93.970537 16.286191,-93.950196 16.265666,-93.873368 16.233022,-93.83735 16.198294,-93.824082 16.173739,-93.774544 16.111701,-93.743302 16.08881,-93.728844 16.062894,-93.691498 16.029311,-93.674804 16.02407,-93.654007 15.999976,-93.660903 15.991744,-93.648902 15.978811,-93.614342 15.958119,-93.607018 15.947474,-93.575791 15.927174,-93.56749 15.909401,-93.554207 15.902796,-93.536202 15.879497,-93.512955 15.866383,-93.493287 15.866509,-93.45916 15.852065,-93.445961 15.833637,-93.447175 15.811134,-93.40432 15.788267,-93.377961 15.767361,-93.291969 15.723015,-93.255058 15.712639,-93.217362 15.685293,-93.180427 15.672843,-93.151963 15.631794,-93.107147 15.589408,-93.059707 15.53168,-93.015182 15.463796,-92.996139 15.457452,-92.96125 15.478672,-92.950248 15.471736,-92.959411 15.454606,-92.937614 15.439581,-92.907417 15.431114,-92.899902 15.420906,-92.884864 15.413112,-92.853836 15.41108,-92.828193 15.391978,-92.75875 15.370336,-92.743415 15.358869,-92.65737 15.319096,-92.655075 15.309761,-92.609992 15.241537,-92.593711 15.229385,-92.583427 15.207273,-92.564254 15.205951,-92.554176 15.181995,-92.532356 15.162576,-92.469511 15.14346,-92.448172 15.130051,-92.424476 15.080574,-92.408629 15.06404,-92.396574 15.033219,-92.404258 14.999977)",200
"LINESTRING (-104.306534 19.051087,-104.299247 19.04678,-104.26548 19.054404,-104.245622 19.049964,-104.206703 19.009756,-104.198715 19.008685,-104.190094 19.015887,-104.163933 19.009467,-104.148727 19.011445,-104.140953 19.007609,-104.092668 19.010798,-104.072975 18.999022,-104.056214 18.965626,-104.043365 18.96114,-104.020904 18.936517,-103.960579 18.935852,-103.901389 18.94001,-103.862778 18.971316,-103.835625 19.016316,-103.810769 19.020402,-103.794671 19.031544,-103.789116 19.060992,-103.779571 19.076682,-103.786332 19.104431,-103.784607 19.129947,-103.747627 19.206538,-103.733032 19.244255,-103.720024 19.242699,-103.665535 19.278239,-103.64325 19.308477,-103.605087 19.320887,-103.584671 19.343754,-103.580261 19.375106,-103.551712 19.411721,-103.533569 19.415041,-103.510269 19.445038,-103.487801 19.455783,-103.49398 19.474764,-103.520752 19.492077,-103.528831 19.504899,-103.511352 19.53762,-103.504105 19.540875,-103.454827 19.530569,-103.454484 19.553086,-103.427383 19.624582,-103.436776 19.63244,-103.461564 19.640354,-103.481834 19.661614,-103.471382 19.69682,-103.465965 19.762788,-103.480621 19.776496,-103.481515 19.802913,-103.501175 19.839107,-103.522675 19.858518,-103.599931 19.886941,-103.619271 19.947561,-103.592027 20.014351,-103.564706 20.036335,-103.551812 20.108088,-103.560998 20.241287,-103.590745 20.315778,-103.584969 20.431137,-103.567948 20.43675,-103.551516 20.424926,-103.546479 20.434573,-103.522119 20.437467,-103.47593 20.536037,-103.401246 20.661487)",54
"LINESTRING (-100.993627 25.426128,-100.843412 25.445558,-100.799763 25.430428,-100.79273 25.409162,-100.789135 25.385453,-100.806652 25.368744,-100.802319 25.357424,-100.795269 25.355475,-100.791882 25.347612,-100.800182 25.310094,-100.785458 25.286897,-100.794285 25.248238,-100.816648 25.228393,-100.745519 25.18385,-100.688474 25.144557,-100.684826 25.124752,-100.64488 25.102509,-100.397227 24.895516,-100.321346 24.80108,-100.29739 24.672774,-100.262767 24.586929,-100.27589 24.531203,-100.289447 24.49912,-100.382495 24.402973,-100.393765 24.381395,-100.376619 24.231024,-100.377598 24.099605,-100.475879 23.915407,-100.486095 23.880632,-100.510417 23.854595,-100.539005 23.842819,-100.619417 23.711153,-100.612658 23.485691,-100.486872 23.017328,-100.470926 22.985723,-100.4722 22.963489,-100.459429 22.936521,-100.478579 22.911034,-100.493989 22.713233,-100.502146 22.694512,-100.50609 22.65647,-100.516848 22.62312,-100.528574 22.625814,-100.540627 22.61173,-100.638459 22.564087,-100.642945 22.567284,-100.658578 22.537667,-100.671342 22.481121,-100.688828 22.442293,-100.723284 22.409369,-100.770327 22.397216,-100.783175 22.373246,-100.801127 22.356896,-100.80726 22.338663,-100.938584 22.183517,-100.955911 22.176325,-100.978586 22.155754,-100.958711 22.150051,-100.880601 22.091635,-100.847138 22.040131,-100.801339 21.947181,-100.795183 21.902123,-100.736833 21.837722,-100.721284 21.793481,-100.684854 21.752651,-100.691804 21.72977,-100.684106 21.699136,-100.713586 21.663438,-100.727593 21.626629,-100.761468 21.609808,-100.753823 21.536913,-100.687149 21.378263,-100.664314 21.367183,-100.613664 21.33677,-100.599015 21.31066,-100.598969 21.212589,-100.578583 21.155866,-100.536209 21.094931,-100.453194 21.02145,-100.410889 20.914954,-100.456261 20.821413,-100.412544 20.595306,-100.393875 20.586853)",57
"LINESTRING (-100.393875 20.586853,-100.385757 20.597297,-100.36425 20.584453,-100.345191 20.585792,-100.318802 20.572317,-100.264847 20.573602,-100.220558 20.560147,-100.097876 20.461925,-100.076178 20.435177,-100.045311 20.413759,-99.934623 20.304127,-99.89112 20.274278,-99.83696 20.252445,-99.789687 20.21532,-99.701651 20.097942,-99.608482 20.072578,-99.565261 20.036859,-99.427527 19.967341,-99.338599 19.875954,-99.257994 19.829485,-99.223967 19.798012,-99.213309 19.764466,-99.218718 19.739985,-99.203513 19.63969,-99.205344 19.601805,-99.216864 19.585727,-99.180488 19.420653)",57D
